,Q29
3398,"90,000-99,999"
3400,"10,000-14,999"
3401,$0-999
3409,"40,000-49,999"
3410,"60,000-69,999"
3413,"15,000-19,999"
3415,"70,000-79,999"
3416,$0-999
3419,"90,000-99,999"
3420,"2,000-2,999"
3423,"10,000-14,999"
3424,"1,000-1,999"
3425,$0-999
3433,$0-999
3435,"30,000-39,999"
3437,$0-999
3438,"1,000-1,999"
3441,"40,000-49,999"
3443,"150,000-199,999"
3444,"2,000-2,999"
3449,"25,000-29,999"
3450,"100,000-124,999"
3458,$0-999
3460,"60,000-69,999"
3464,"40,000-49,999"
3465,"70,000-79,999"
3466,"25,000-29,999"
3470,"50,000-59,999"
3481,"4,000-4,999"
3486,"60,000-69,999"
3488,"40,000-49,999"
3490,"5,000-7,499"
3500,"10,000-14,999"
3503,"70,000-79,999"
3505,"15,000-19,999"
3512,"70,000-79,999"
3520,"100,000-124,999"
3521,"50,000-59,999"
3522,"20,000-24,999"
3523,"200,000-249,999"
3526,"90,000-99,999"
3531,"30,000-39,999"
3532,$0-999
3533,"40,000-49,999"
3541,"10,000-14,999"
3543,$0-999
3546,"2,000-2,999"
3548,"150,000-199,999"
3550,"10,000-14,999"
3562,$0-999
3563,"50,000-59,999"
3564,"1,000-1,999"
3570,"10,000-14,999"
3573,"200,000-249,999"
3575,"5,000-7,499"
3577,"125,000-149,999"
3578,"25,000-29,999"
3579,"80,000-89,999"
3584,"30,000-39,999"
3586,"2,000-2,999"
3593,"2,000-2,999"
3596,"20,000-24,999"
3601,"50,000-59,999"
3602,"15,000-19,999"
3604,"5,000-7,499"
3610,"25,000-29,999"
3617,$0-999
3619,"25,000-29,999"
3621,$0-999
3623,"25,000-29,999"
3630,"5,000-7,499"
3632,"70,000-79,999"
3633,"50,000-59,999"
3638,"7,500-9,999"
3639,"50,000-59,999"
3640,"25,000-29,999"
3643,"50,000-59,999"
3645,"3,000-3,999"
3646,"125,000-149,999"
3647,"1,000-1,999"
3651,$0-999
3653,"100,000-124,999"
3654,"80,000-89,999"
3658,"125,000-149,999"
3661,"2,000-2,999"
3663,"150,000-199,999"
3666,"15,000-19,999"
3669,"2,000-2,999"
3671,$0-999
3673,"125,000-149,999"
3676,"10,000-14,999"
3681,"1,000-1,999"
3682,$0-999
3683,"70,000-79,999"
3684,"10,000-14,999"
3688,"80,000-89,999"
3690,"20,000-24,999"
3699,"30,000-39,999"
3701,"5,000-7,499"
3702,"30,000-39,999"
3703,$0-999
3705,"3,000-3,999"
3706,"1,000-1,999"
3707,"40,000-49,999"
3710,"1,000-1,999"
3713,"50,000-59,999"
3714,"2,000-2,999"
3722,"40,000-49,999"
3724,"1,000-1,999"
3725,"40,000-49,999"
3726,"100,000-124,999"
3728,"200,000-249,999"
3729,$0-999
3739,"90,000-99,999"
3740,"250,000-299,999"
3745,"40,000-49,999"
3752,"80,000-89,999"
3753,"50,000-59,999"
3755,"50,000-59,999"
3757,"4,000-4,999"
3760,"15,000-19,999"
3761,"40,000-49,999"
3762,"10,000-14,999"
3763,"4,000-4,999"
3767,"80,000-89,999"
3768,"70,000-79,999"
3775,"4,000-4,999"
3776,"250,000-299,999"
3780,"25,000-29,999"
3786,"7,500-9,999"
3793,$0-999
3794,"5,000-7,499"
3798,$0-999
3799,"20,000-24,999"
3802,"40,000-49,999"
3805,"200,000-249,999"
3808,"10,000-14,999"
3810,"90,000-99,999"
3811,"25,000-29,999"
3817,$0-999
3819,"7,500-9,999"
3821,"15,000-19,999"
3822,$0-999
3825,"40,000-49,999"
3827,"70,000-79,999"
3829,"4,000-4,999"
3830,"100,000-124,999"
3832,"100,000-124,999"
3835,"50,000-59,999"
3837,"150,000-199,999"
3838,"90,000-99,999"
3841,"2,000-2,999"
3848,"1,000-1,999"
3855,"20,000-24,999"
3856,"200,000-249,999"
3857,"25,000-29,999"
3859,"5,000-7,499"
3861,"20,000-24,999"
3864,"70,000-79,999"
3871,"20,000-24,999"
3884,"5,000-7,499"
3888,"90,000-99,999"
3889,"7,500-9,999"
3890,"125,000-149,999"
3891,"1,000-1,999"
3897,"20,000-24,999"
3899,"50,000-59,999"
3905,$0-999
3908,"100,000-124,999"
3911,$0-999
3913,$0-999
3916,"20,000-24,999"
3924,$0-999
3925,$0-999
3931,$0-999
3932,"70,000-79,999"
3934,"1,000-1,999"
3936,"2,000-2,999"
3937,"40,000-49,999"
3942,"200,000-249,999"
3950,"80,000-89,999"
3958,"150,000-199,999"
3965,"125,000-149,999"
3967,"60,000-69,999"
3970,"1,000-1,999"
3972,"125,000-149,999"
3973,"10,000-14,999"
3979,"80,000-89,999"
3982,"80,000-89,999"
3984,"1,000-1,999"
3985,"90,000-99,999"
3986,"200,000-249,999"
3988,"2,000-2,999"
3992,"10,000-14,999"
3996,"40,000-49,999"
3997,"100,000-124,999"
4000,"15,000-19,999"
4002,"1,000-1,999"
4006,"15,000-19,999"
4009,"40,000-49,999"
4010,"7,500-9,999"
4011,"40,000-49,999"
4014,"20,000-24,999"
4019,$0-999
4020,"5,000-7,499"
4021,"150,000-199,999"
4026,"250,000-299,999"
4027,$0-999
4031,"60,000-69,999"
4037,"30,000-39,999"
4039,"70,000-79,999"
4041,"60,000-69,999"
4045,"10,000-14,999"
4047,"10,000-14,999"
4055,"5,000-7,499"
4056,"40,000-49,999"
4057,"10,000-14,999"
4060,"100,000-124,999"
4064,"15,000-19,999"
4066,"250,000-299,999"
4070,"4,000-4,999"
4072,"15,000-19,999"
4074,"30,000-39,999"
4077,"300,000-499,999"
4078,"150,000-199,999"
4079,"30,000-39,999"
4080,"10,000-14,999"
4088,"1,000-1,999"
4092,"70,000-79,999"
4096,"40,000-49,999"
4097,"150,000-199,999"
4098,"1,000-1,999"
4099,"2,000-2,999"
4102,"60,000-69,999"
4103,"1,000-1,999"
4110,"60,000-69,999"
4116,"125,000-149,999"
4117,"30,000-39,999"
4120,"125,000-149,999"
4124,"$500,000-999,999"
4131,"60,000-69,999"
4134,"15,000-19,999"
4139,"50,000-59,999"
4142,"200,000-249,999"
4143,"1,000-1,999"
4146,"250,000-299,999"
4152,"40,000-49,999"
4155,"20,000-24,999"
4157,"7,500-9,999"
4159,"10,000-14,999"
4162,"7,500-9,999"
4163,"7,500-9,999"
4166,"40,000-49,999"
4168,"30,000-39,999"
4169,"15,000-19,999"
4171,"150,000-199,999"
4174,"1,000-1,999"
4175,"7,500-9,999"
4179,"50,000-59,999"
4182,$0-999
4183,"30,000-39,999"
4184,"150,000-199,999"
4189,$0-999
4193,$0-999
4194,"5,000-7,499"
4198,"7,500-9,999"
4202,"1,000-1,999"
4208,"2,000-2,999"
4220,"3,000-3,999"
4227,"200,000-249,999"
4230,"4,000-4,999"
4233,"300,000-499,999"
4235,"250,000-299,999"
4237,"5,000-7,499"
4240,"50,000-59,999"
4241,"2,000-2,999"
4242,"10,000-14,999"
4244,"3,000-3,999"
4251,"10,000-14,999"
4252,"250,000-299,999"
4260,"40,000-49,999"
4262,"60,000-69,999"
4263,"250,000-299,999"
4270,"50,000-59,999"
4279,"60,000-69,999"
4280,"15,000-19,999"
4283,"1,000-1,999"
4284,"2,000-2,999"
4288,"5,000-7,499"
4290,"70,000-79,999"
4291,"20,000-24,999"
4293,$0-999
4294,"70,000-79,999"
4296,"100,000-124,999"
4299,"10,000-14,999"
4300,"10,000-14,999"
4302,"30,000-39,999"
4305,"300,000-499,999"
4309,$0-999
4315,"40,000-49,999"
4316,"10,000-14,999"
4319,"150,000-199,999"
4320,"40,000-49,999"
4321,"7,500-9,999"
4322,"2,000-2,999"
4323,"40,000-49,999"
4326,">$1,000,000"
4328,"150,000-199,999"
4333,"50,000-59,999"
4334,"15,000-19,999"
4336,"80,000-89,999"
4339,"10,000-14,999"
4342,$0-999
4350,"50,000-59,999"
4351,"20,000-24,999"
4355,"2,000-2,999"
4356,"7,500-9,999"
4361,"60,000-69,999"
4364,"25,000-29,999"
4372,"20,000-24,999"
4373,"125,000-149,999"
4374,"30,000-39,999"
4376,"7,500-9,999"
4381,"200,000-249,999"
4382,"1,000-1,999"
4384,"3,000-3,999"
4386,"50,000-59,999"
4389,"25,000-29,999"
4391,"50,000-59,999"
4393,"20,000-24,999"
4396,"50,000-59,999"
4397,"30,000-39,999"
4398,"125,000-149,999"
4407,"2,000-2,999"
4408,"10,000-14,999"
4409,"5,000-7,499"
4410,"4,000-4,999"
4413,"10,000-14,999"
4420,"60,000-69,999"
4421,"5,000-7,499"
4424,"125,000-149,999"
4426,"30,000-39,999"
4430,"4,000-4,999"
4432,"70,000-79,999"
4440,"50,000-59,999"
4441,"15,000-19,999"
4443,"90,000-99,999"
4444,"50,000-59,999"
4447,"30,000-39,999"
4451,"15,000-19,999"
4456,$0-999
4467,"80,000-89,999"
4468,"1,000-1,999"
4471,"15,000-19,999"
4472,"25,000-29,999"
4474,"10,000-14,999"
4475,"40,000-49,999"
4477,"20,000-24,999"
4478,"60,000-69,999"
4484,$0-999
4486,"30,000-39,999"
4488,"15,000-19,999"
4490,$0-999
4499,"100,000-124,999"
4500,$0-999
4503,"4,000-4,999"
4505,"4,000-4,999"
4507,"100,000-124,999"
4512,"5,000-7,499"
4518,"100,000-124,999"
4525,"2,000-2,999"
4526,$0-999
4530,"7,500-9,999"
4533,$0-999
4538,"7,500-9,999"
4543,"5,000-7,499"
4546,"15,000-19,999"
4547,"125,000-149,999"
4548,"125,000-149,999"
4552,"2,000-2,999"
4553,"30,000-39,999"
4573,"50,000-59,999"
4578,"300,000-499,999"
4580,"125,000-149,999"
4584,"5,000-7,499"
4585,$0-999
4588,"200,000-249,999"
4589,"20,000-24,999"
4590,$0-999
4591,"250,000-299,999"
4592,"10,000-14,999"
4598,"50,000-59,999"
4599,"20,000-24,999"
4600,"100,000-124,999"
4601,"15,000-19,999"
4602,"3,000-3,999"
4607,"10,000-14,999"
4610,$0-999
4613,"100,000-124,999"
4615,"2,000-2,999"
4619,$0-999
4623,"80,000-89,999"
4624,"30,000-39,999"
4628,"15,000-19,999"
4633,"5,000-7,499"
4642,"30,000-39,999"
4644,"10,000-14,999"
4648,"40,000-49,999"
4649,$0-999
4653,"30,000-39,999"
4658,"60,000-69,999"
4663,"5,000-7,499"
4666,"1,000-1,999"
4669,"20,000-24,999"
4670,"1,000-1,999"
4673,"20,000-24,999"
4676,"5,000-7,499"
4679,"50,000-59,999"
4683,"70,000-79,999"
4684,"2,000-2,999"
4687,"1,000-1,999"
4689,"20,000-24,999"
4690,"20,000-24,999"
4692,$0-999
4702,"4,000-4,999"
4711,"10,000-14,999"
4714,"1,000-1,999"
4723,"10,000-14,999"
4724,"40,000-49,999"
4727,"20,000-24,999"
4728,"100,000-124,999"
4730,"5,000-7,499"
4735,$0-999
4737,"25,000-29,999"
4741,"50,000-59,999"
4746,"3,000-3,999"
4747,"125,000-149,999"
4748,"15,000-19,999"
4751,"15,000-19,999"
4752,"100,000-124,999"
4754,"1,000-1,999"
4755,"40,000-49,999"
4756,"125,000-149,999"
4758,"1,000-1,999"
4759,"15,000-19,999"
4761,"100,000-124,999"
4767,"60,000-69,999"
4769,"4,000-4,999"
4772,"125,000-149,999"
4775,"200,000-249,999"
4777,$0-999
4781,"10,000-14,999"
4782,$0-999
4784,"60,000-69,999"
4785,"20,000-24,999"
4787,"5,000-7,499"
4795,"60,000-69,999"
4796,"20,000-24,999"
4806,"7,500-9,999"
4807,"2,000-2,999"
4808,"40,000-49,999"
4809,"15,000-19,999"
4812,$0-999
4819,"15,000-19,999"
4822,"90,000-99,999"
4827,$0-999
4828,$0-999
4830,"15,000-19,999"
4836,"50,000-59,999"
4843,"70,000-79,999"
4849,"70,000-79,999"
4850,"125,000-149,999"
4851,"10,000-14,999"
4853,"25,000-29,999"
4855,"25,000-29,999"
4856,$0-999
4857,"7,500-9,999"
4858,"10,000-14,999"
4860,"70,000-79,999"
4864,"2,000-2,999"
4868,"25,000-29,999"
4869,"7,500-9,999"
4871,$0-999
4872,$0-999
4873,$0-999
4875,"40,000-49,999"
4876,"100,000-124,999"
4884,"10,000-14,999"
4885,"70,000-79,999"
4886,"20,000-24,999"
4891,"1,000-1,999"
4893,"40,000-49,999"
4898,"60,000-69,999"
4904,"100,000-124,999"
4905,"20,000-24,999"
4913,"40,000-49,999"
4914,"200,000-249,999"
4917,"1,000-1,999"
4926,"15,000-19,999"
4929,"150,000-199,999"
4933,"150,000-199,999"
4935,"30,000-39,999"
4936,$0-999
4937,"2,000-2,999"
4938,"100,000-124,999"
4940,"100,000-124,999"
4941,"100,000-124,999"
4942,"40,000-49,999"
4943,"100,000-124,999"
4946,"20,000-24,999"
4950,"70,000-79,999"
4952,"70,000-79,999"
4957,"10,000-14,999"
4966,"25,000-29,999"
4967,"100,000-124,999"
4971,"90,000-99,999"
4973,"25,000-29,999"
4975,"10,000-14,999"
4977,"1,000-1,999"
4978,"50,000-59,999"
4979,"15,000-19,999"
4980,"40,000-49,999"
4982,"3,000-3,999"
4987,"15,000-19,999"
4992,"30,000-39,999"
4994,"100,000-124,999"
4996,"7,500-9,999"
4998,"30,000-39,999"
5003,"1,000-1,999"
5007,"1,000-1,999"
5008,"100,000-124,999"
5014,"40,000-49,999"
5016,"70,000-79,999"
5021,$0-999
5022,$0-999
5023,"50,000-59,999"
5025,"100,000-124,999"
5026,"5,000-7,499"
5033,"3,000-3,999"
5037,"100,000-124,999"
5038,$0-999
5042,"50,000-59,999"
5045,"10,000-14,999"
5050,"2,000-2,999"
5053,"70,000-79,999"
5054,"15,000-19,999"
5056,"2,000-2,999"
5057,"150,000-199,999"
5059,"60,000-69,999"
5063,"7,500-9,999"
5065,"4,000-4,999"
5066,"30,000-39,999"
5068,"5,000-7,499"
5069,"80,000-89,999"
5070,$0-999
5071,"125,000-149,999"
5079,"25,000-29,999"
5083,"200,000-249,999"
5085,"7,500-9,999"
5089,"1,000-1,999"
5091,"7,500-9,999"
5094,"40,000-49,999"
5095,"80,000-89,999"
5097,"5,000-7,499"
5101,$0-999
5109,"125,000-149,999"
5111,"30,000-39,999"
5116,"2,000-2,999"
5120,"200,000-249,999"
5122,"30,000-39,999"
5127,$0-999
5128,"125,000-149,999"
5130,"1,000-1,999"
5131,$0-999
5137,$0-999
5141,"20,000-24,999"
5143,"20,000-24,999"
5144,"250,000-299,999"
5148,"10,000-14,999"
5149,"90,000-99,999"
5150,"10,000-14,999"
5153,"5,000-7,499"
5157,"3,000-3,999"
5161,"40,000-49,999"
5162,"50,000-59,999"
5163,"4,000-4,999"
5164,"150,000-199,999"
5166,"1,000-1,999"
5170,"7,500-9,999"
5177,"10,000-14,999"
5180,"15,000-19,999"
5181,"40,000-49,999"
5182,"90,000-99,999"
5183,"200,000-249,999"
5187,$0-999
5192,$0-999
5194,$0-999
5195,"25,000-29,999"
5198,"10,000-14,999"
5204,"2,000-2,999"
5205,"300,000-499,999"
5209,"40,000-49,999"
5213,"7,500-9,999"
5214,"3,000-3,999"
5215,"50,000-59,999"
5216,"7,500-9,999"
5219,"70,000-79,999"
5222,"80,000-89,999"
5223,"125,000-149,999"
5228,"60,000-69,999"
5229,"90,000-99,999"
5231,"100,000-124,999"
5240,"7,500-9,999"
5242,"15,000-19,999"
5246,"1,000-1,999"
5249,"5,000-7,499"
5251,"30,000-39,999"
5255,"150,000-199,999"
5257,"7,500-9,999"
5259,"3,000-3,999"
5261,"100,000-124,999"
5262,"30,000-39,999"
5268,"1,000-1,999"
5270,"50,000-59,999"
5276,"15,000-19,999"
5277,"15,000-19,999"
5281,"100,000-124,999"
5284,"250,000-299,999"
5286,"20,000-24,999"
5288,"50,000-59,999"
5290,"10,000-14,999"
5291,$0-999
5295,"300,000-499,999"
5297,"10,000-14,999"
5302,"4,000-4,999"
5303,"15,000-19,999"
5313,"1,000-1,999"
5315,"1,000-1,999"
5321,"1,000-1,999"
5324,"3,000-3,999"
5325,$0-999
5328,"150,000-199,999"
5329,"15,000-19,999"
5332,"2,000-2,999"
5333,"4,000-4,999"
5338,"5,000-7,499"
5346,"3,000-3,999"
5347,$0-999
5348,"10,000-14,999"
5350,"70,000-79,999"
5351,"7,500-9,999"
5354,"25,000-29,999"
5358,$0-999
5359,"10,000-14,999"
5363,"250,000-299,999"
5367,"30,000-39,999"
5373,"3,000-3,999"
5379,"80,000-89,999"
5383,"25,000-29,999"
5387,"60,000-69,999"
5389,"80,000-89,999"
5392,"30,000-39,999"
5395,$0-999
5396,$0-999
5400,"1,000-1,999"
5401,"7,500-9,999"
5404,"30,000-39,999"
5407,"25,000-29,999"
5409,"25,000-29,999"
5411,"300,000-499,999"
5412,"10,000-14,999"
5415,$0-999
5418,"20,000-24,999"
5420,"15,000-19,999"
5421,"15,000-19,999"
5426,"20,000-24,999"
5430,"25,000-29,999"
5431,"50,000-59,999"
5432,"10,000-14,999"
5435,$0-999
5437,$0-999
5438,"60,000-69,999"
5441,"100,000-124,999"
5442,"70,000-79,999"
5443,"2,000-2,999"
5447,"20,000-24,999"
5449,"10,000-14,999"
5451,$0-999
5453,"250,000-299,999"
5455,"20,000-24,999"
5456,"125,000-149,999"
5458,"30,000-39,999"
5464,"100,000-124,999"
5471,"10,000-14,999"
5478,"150,000-199,999"
5485,"90,000-99,999"
5486,"30,000-39,999"
5489,"5,000-7,499"
5490,"300,000-499,999"
5494,"40,000-49,999"
5495,"90,000-99,999"
5500,"$500,000-999,999"
5502,"60,000-69,999"
5506,"100,000-124,999"
5510,$0-999
5515,"40,000-49,999"
5517,"7,500-9,999"
5522,"7,500-9,999"
5524,$0-999
5529,"50,000-59,999"
5531,"7,500-9,999"
5533,"25,000-29,999"
5537,"30,000-39,999"
5543,"40,000-49,999"
5545,"200,000-249,999"
5547,"4,000-4,999"
5554,"7,500-9,999"
5555,"100,000-124,999"
5556,"150,000-199,999"
5560,$0-999
5562,"40,000-49,999"
5566,"3,000-3,999"
5567,"20,000-24,999"
5569,"5,000-7,499"
5570,"3,000-3,999"
5571,"70,000-79,999"
5572,"250,000-299,999"
5577,"100,000-124,999"
5578,"30,000-39,999"
5582,"30,000-39,999"
5584,"60,000-69,999"
5590,"5,000-7,499"
5593,"30,000-39,999"
5594,$0-999
5600,"15,000-19,999"
5603,"7,500-9,999"
5607,$0-999
5610,"60,000-69,999"
5612,$0-999
5625,$0-999
5628,"7,500-9,999"
5629,"25,000-29,999"
5633,"2,000-2,999"
5636,"40,000-49,999"
5640,$0-999
5642,"40,000-49,999"
5644,"4,000-4,999"
5647,"10,000-14,999"
5648,$0-999
5651,"200,000-249,999"
5652,"20,000-24,999"
5653,"20,000-24,999"
5654,"100,000-124,999"
5655,"100,000-124,999"
5657,"70,000-79,999"
5659,"10,000-14,999"
5666,"60,000-69,999"
5668,"1,000-1,999"
5670,"25,000-29,999"
5673,"2,000-2,999"
5675,"80,000-89,999"
5676,"30,000-39,999"
5682,"15,000-19,999"
5690,"2,000-2,999"
5691,"5,000-7,499"
5693,"5,000-7,499"
5695,"30,000-39,999"
5698,"4,000-4,999"
5699,$0-999
5702,"300,000-499,999"
5705,"7,500-9,999"
5708,"40,000-49,999"
5709,"4,000-4,999"
5710,"30,000-39,999"
5711,"5,000-7,499"
5712,"60,000-69,999"
5714,"4,000-4,999"
5715,"40,000-49,999"
5716,"30,000-39,999"
5718,"5,000-7,499"
5721,"20,000-24,999"
5722,"15,000-19,999"
5732,"1,000-1,999"
5735,"150,000-199,999"
5739,"70,000-79,999"
5742,"150,000-199,999"
5744,"1,000-1,999"
5745,$0-999
5749,$0-999
5750,"60,000-69,999"
5752,$0-999
5757,"20,000-24,999"
5764,"7,500-9,999"
5772,"10,000-14,999"
5775,$0-999
5776,"1,000-1,999"
5783,"1,000-1,999"
5784,"7,500-9,999"
5787,"1,000-1,999"
5789,"10,000-14,999"
5794,"40,000-49,999"
5796,"50,000-59,999"
5798,"10,000-14,999"
5808,"2,000-2,999"
5810,$0-999
5815,"90,000-99,999"
5817,"4,000-4,999"
5821,"4,000-4,999"
5826,"300,000-499,999"
5827,"100,000-124,999"
5828,"4,000-4,999"
5834,"5,000-7,499"
5835,$0-999
5837,$0-999
5842,"40,000-49,999"
5843,"60,000-69,999"
5845,"5,000-7,499"
5846,"3,000-3,999"
5853,"25,000-29,999"
5854,"125,000-149,999"
5855,"100,000-124,999"
5857,"200,000-249,999"
5865,"30,000-39,999"
5871,"15,000-19,999"
5872,"40,000-49,999"
5873,"125,000-149,999"
5874,"150,000-199,999"
5875,$0-999
5876,"7,500-9,999"
5880,"200,000-249,999"
5883,"150,000-199,999"
5893,"300,000-499,999"
5894,"80,000-89,999"
5900,"2,000-2,999"
5904,"150,000-199,999"
5905,$0-999
5907,"150,000-199,999"
5908,"80,000-89,999"
5909,"100,000-124,999"
5910,"10,000-14,999"
5913,"1,000-1,999"
5916,"25,000-29,999"
5917,"10,000-14,999"
5920,"7,500-9,999"
5922,"70,000-79,999"
5924,"5,000-7,499"
5927,"150,000-199,999"
5928,"2,000-2,999"
5930,"100,000-124,999"
5932,"15,000-19,999"
5933,"10,000-14,999"
5939,$0-999
5940,"25,000-29,999"
5942,"1,000-1,999"
5944,"125,000-149,999"
5947,"7,500-9,999"
5951,"80,000-89,999"
5953,"7,500-9,999"
5959,$0-999
5961,"50,000-59,999"
5968,"4,000-4,999"
5970,"20,000-24,999"
5972,"4,000-4,999"
5976,"10,000-14,999"
5980,"50,000-59,999"
5986,"20,000-24,999"
5990,"200,000-249,999"
5993,"200,000-249,999"
5994,"5,000-7,499"
5998,"30,000-39,999"
6000,"150,000-199,999"
6001,"10,000-14,999"
6003,"150,000-199,999"
6009,"4,000-4,999"
6014,"20,000-24,999"
6019,$0-999
6025,"100,000-124,999"
6027,"10,000-14,999"
6031,"20,000-24,999"
6032,"60,000-69,999"
6033,"1,000-1,999"
6036,"60,000-69,999"
6037,"20,000-24,999"
6041,"60,000-69,999"
6042,"125,000-149,999"
6044,$0-999
6045,"50,000-59,999"
6046,"60,000-69,999"
6059,"25,000-29,999"
6060,$0-999
6066,"3,000-3,999"
6070,"7,500-9,999"
6071,"5,000-7,499"
6074,"30,000-39,999"
6077,"5,000-7,499"
6080,"70,000-79,999"
6081,"3,000-3,999"
6083,"125,000-149,999"
6084,"150,000-199,999"
6093,"1,000-1,999"
6098,"150,000-199,999"
6101,"1,000-1,999"
6102,"1,000-1,999"
6103,"1,000-1,999"
6105,"250,000-299,999"
6108,"70,000-79,999"
6110,"50,000-59,999"
6113,"1,000-1,999"
6117,"40,000-49,999"
6119,"7,500-9,999"
6123,"100,000-124,999"
6126,">$1,000,000"
6128,"30,000-39,999"
6130,"50,000-59,999"
6132,"100,000-124,999"
6133,"40,000-49,999"
6140,"20,000-24,999"
6145,"70,000-79,999"
6148,"30,000-39,999"
6153,$0-999
6155,$0-999
6156,$0-999
6159,"3,000-3,999"
6161,"70,000-79,999"
6165,"7,500-9,999"
6166,$0-999
6171,"70,000-79,999"
6175,"100,000-124,999"
6176,$0-999
6180,$0-999
6182,$0-999
6197,"200,000-249,999"
6207,$0-999
6212,"1,000-1,999"
6214,"250,000-299,999"
6218,"150,000-199,999"
6222,"25,000-29,999"
6228,"125,000-149,999"
6230,"90,000-99,999"
6231,"10,000-14,999"
6236,"60,000-69,999"
6238,"40,000-49,999"
6239,"20,000-24,999"
6240,"50,000-59,999"
6241,$0-999
6243,"60,000-69,999"
6259,"7,500-9,999"
6261,"150,000-199,999"
6263,"30,000-39,999"
6266,"60,000-69,999"
6267,"150,000-199,999"
6268,"30,000-39,999"
6270,"100,000-124,999"
6273,"7,500-9,999"
6274,$0-999
6276,"150,000-199,999"
6277,"50,000-59,999"
6289,"30,000-39,999"
6293,"100,000-124,999"
6297,"5,000-7,499"
6300,$0-999
6303,"20,000-24,999"
6304,"30,000-39,999"
6305,$0-999
6307,"2,000-2,999"
6313,$0-999
6315,"4,000-4,999"
6318,"4,000-4,999"
6322,"10,000-14,999"
6323,$0-999
6324,"30,000-39,999"
6328,"40,000-49,999"
6334,"2,000-2,999"
6338,"15,000-19,999"
6340,$0-999
6353,"150,000-199,999"
6355,"25,000-29,999"
6360,"20,000-24,999"
6361,"30,000-39,999"
6363,"80,000-89,999"
6365,"25,000-29,999"
6368,"1,000-1,999"
6371,$0-999
6375,"60,000-69,999"
6376,"80,000-89,999"
6377,"150,000-199,999"
6378,"20,000-24,999"
6379,$0-999
6380,"7,500-9,999"
6381,"40,000-49,999"
6382,"70,000-79,999"
6387,"80,000-89,999"
6392,"10,000-14,999"
6396,"2,000-2,999"
6402,"10,000-14,999"
6407,$0-999
6410,"60,000-69,999"
6412,"5,000-7,499"
6413,"3,000-3,999"
6415,"7,500-9,999"
6426,"30,000-39,999"
6427,"10,000-14,999"
6428,"60,000-69,999"
6436,"70,000-79,999"
6437,$0-999
6438,"20,000-24,999"
6440,"40,000-49,999"
6441,$0-999
6444,"5,000-7,499"
6445,"7,500-9,999"
6447,$0-999
6448,"10,000-14,999"
6450,"2,000-2,999"
6451,$0-999
6452,$0-999
6456,"7,500-9,999"
6459,"10,000-14,999"
6461,$0-999
6464,"60,000-69,999"
6470,"3,000-3,999"
6475,"1,000-1,999"
6477,"5,000-7,499"
6478,"4,000-4,999"
6488,"1,000-1,999"
6492,"40,000-49,999"
6494,"1,000-1,999"
6495,"25,000-29,999"
6496,"10,000-14,999"
6497,"90,000-99,999"
6498,"50,000-59,999"
6503,"150,000-199,999"
6505,"3,000-3,999"
6515,"15,000-19,999"
6529,"125,000-149,999"
6531,"80,000-89,999"
6532,$0-999
6534,"5,000-7,499"
6537,"10,000-14,999"
6545,"40,000-49,999"
6550,$0-999
6555,"100,000-124,999"
6556,"70,000-79,999"
6560,$0-999
6561,"40,000-49,999"
6569,"60,000-69,999"
6573,"150,000-199,999"
6577,"20,000-24,999"
6583,$0-999
6587,"3,000-3,999"
6588,$0-999
6589,"4,000-4,999"
6590,"5,000-7,499"
6596,"7,500-9,999"
6599,"40,000-49,999"
6600,"1,000-1,999"
6601,$0-999
6602,"4,000-4,999"
6608,"5,000-7,499"
6610,"125,000-149,999"
6611,"50,000-59,999"
6612,"20,000-24,999"
6617,"3,000-3,999"
6619,"1,000-1,999"
6620,"10,000-14,999"
6621,"5,000-7,499"
6623,"30,000-39,999"
6628,$0-999
6630,"150,000-199,999"
6632,"10,000-14,999"
6635,"1,000-1,999"
6640,"30,000-39,999"
6642,"25,000-29,999"
6643,"20,000-24,999"
6644,"4,000-4,999"
6645,"200,000-249,999"
6646,"20,000-24,999"
6648,$0-999
6652,"100,000-124,999"
6654,$0-999
6656,"40,000-49,999"
6668,"10,000-14,999"
6669,"70,000-79,999"
6674,$0-999
6675,$0-999
6679,"10,000-14,999"
6681,"30,000-39,999"
6682,"250,000-299,999"
6683,$0-999
6685,"10,000-14,999"
6687,"1,000-1,999"
6693,$0-999
6694,"5,000-7,499"
6696,"$500,000-999,999"
6700,$0-999
6701,"100,000-124,999"
6707,"250,000-299,999"
6709,"10,000-14,999"
6711,"30,000-39,999"
6712,"40,000-49,999"
6717,"30,000-39,999"
6718,"5,000-7,499"
6729,"300,000-499,999"
6730,"7,500-9,999"
6731,"150,000-199,999"
6732,"80,000-89,999"
6734,$0-999
6741,"200,000-249,999"
6743,"30,000-39,999"
6745,"125,000-149,999"
6747,"25,000-29,999"
6753,"15,000-19,999"
6754,"150,000-199,999"
6756,"30,000-39,999"
6758,"200,000-249,999"
6761,$0-999
6764,"1,000-1,999"
6768,"1,000-1,999"
6771,"1,000-1,999"
6772,"30,000-39,999"
6773,"3,000-3,999"
6781,"125,000-149,999"
6786,"4,000-4,999"
6788,"80,000-89,999"
6794,"100,000-124,999"
6796,"100,000-124,999"
6797,"5,000-7,499"
6799,"20,000-24,999"
6801,"60,000-69,999"
6803,"250,000-299,999"
6804,"10,000-14,999"
6824,"20,000-24,999"
